info,year,city,price
北京房价24535元/㎡0.81% ↑,2010,北京,24535
上海房价22311元/㎡1.68% ↑,2010,上海,22311
杭州房价21683元/㎡0.66% ↑,2010,杭州,21683
深圳房价16511元/㎡3.33% ↑,2010,深圳,16511
青岛房价15525元/㎡8.89% ↑,2010,青岛,15525
南京房价13994元/㎡0.55% ↑,2010,南京,13994
广州房价12840元/㎡4.28% ↑,2010,广州,12840
天津房价12296元/㎡1.25% ↑,2010,天津,12296
大连房价10846元/㎡1.33% ↑,2010,大连,10846
苏州房价8871元/㎡1.01% ↑,2010,苏州,8871
成都房价7970元/㎡2.19% ↑,2010,成都,7970
济南房价7876元/㎡1.68% ↑,2010,济南,7876
无锡房价7528元/㎡1.46% ↑,2010,无锡,7528
西安房价7126元/㎡3.45% ↓,2010,西安,7126
武汉房价6849元/㎡2.07% ↑,2010,武汉,6849
石家庄房价6406元/㎡3.91% ↑,2010,石家庄,6406
长沙房价6122元/㎡4.45% ↑,2010,长沙,6122
重庆房价5967元/㎡3.46% ↑,2010,重庆,5967
佛山房价5901元/㎡1.40% ↑,2010,佛山,5901
郑州房价5697元/㎡2.55% ↑,2010,郑州,5697
北京房价24964元/㎡1.69% ↓,2011,北京,24964
上海房价22483元/㎡2.68% ↓,2011,上海,22483
杭州房价19563元/㎡3.95% ↓,2011,杭州,19563
厦门房价17397元/㎡5.50% ↓,2011,厦门,17397
深圳房价17288元/㎡3.27% ↓,2011,深圳,17288
三亚房价16113元/㎡0.93% ↑,2011,三亚,16113
宁波房价15334元/㎡1.58% ↓,2011,宁波,15334
广州房价14643元/㎡0.58% ↑,2011,广州,14643
南京房价14326元/㎡1.24% ↓,2011,南京,14326
青岛房价12649元/㎡0.31% ↓,2011,青岛,12649
天津房价12630元/㎡1.70% ↓,2011,天津,12630
大连房价11026元/㎡1.34% ↓,2011,大连,11026
福州房价10942元/㎡2.69% ↓,2011,福州,10942
珠海房价10677元/㎡9.73% ↓,2011,珠海,10677
苏州房价9920元/㎡—,2011,苏州,9920
南通房价9906元/㎡0.15% ↑,2011,南通,9906
绍兴房价9564元/㎡5.00% ↓,2011,绍兴,9564
昆明房价8771元/㎡1.34% ↓,2011,昆明,8771
济南房价8507元/㎡1.39% ↓,2011,济南,8507
泉州房价8458元/㎡1.55% ↓,2011,泉州,8458
成都房价8409元/㎡0.99% ↓,2011,成都,8409
兰州房价8280元/㎡0.68% ↓,2011,兰州,8280
扬州房价8208元/㎡0.18% ↑,2011,扬州,8208
沈阳房价8040元/㎡0.42% ↑,2011,沈阳,8040
海口房价8011元/㎡1.95% ↓,2011,海口,8011
武汉房价7791元/㎡0.46% ↓,2011,武汉,7791
秦皇岛房价7757元/㎡0.03% ↑,2011,秦皇岛,7757
泰州房价7714元/㎡—,2011,泰州,7714
唐山房价7641元/㎡0.31% ↓,2011,唐山,7641
南昌房价7578元/㎡4.14% ↓,2011,南昌,7578
常州房价7576元/㎡0.35% ↑,2011,常州,7576
烟台房价7571元/㎡0.20% ↓,2011,烟台,7571
廊坊房价7504元/㎡0.46% ↓,2011,廊坊,7504
哈尔滨房价7466元/㎡0.15% ↑,2011,哈尔滨,7466
无锡房价7417元/㎡2.15% ↓,2011,无锡,7417
南宁房价7374元/㎡0.88% ↓,2011,南宁,7374
太原房价7315元/㎡0.45% ↓,2011,太原,7315
石家庄房价7248元/㎡1.92% ↓,2011,石家庄,7248
西安房价7126元/㎡0.38% ↑,2011,西安,7126
昆山房价7095元/㎡1.00% ↓,2011,昆山,7095
呼和浩特房价6987元/㎡0.01% ↓,2011,呼和浩特,6987
徐州房价6829元/㎡0.76% ↑,2011,徐州,6829
嘉兴房价6817元/㎡1.48% ↑,2011,嘉兴,6817
镇江房价6805元/㎡0.18% ↑,2011,镇江,6805
长沙房价6726元/㎡1.35% ↓,2011,长沙,6726
长春房价6637元/㎡9.56% ↓,2011,长春,6637
重庆房价6530元/㎡1.11% ↓,2011,重庆,6530
郑州房价6513元/㎡0.92% ↓,2011,郑州,6513
东莞房价6472元/㎡1.41% ↓,2011,东莞,6472
合肥房价6463元/㎡1.03% ↓,2011,合肥,6463
佛山房价6126元/㎡0.68% ↑,2011,佛山,6126
邯郸房价6058元/㎡0.08% ↑,2011,邯郸,6058
银川房价5886元/㎡0.22% ↑,2011,银川,5886
宜昌房价5851元/㎡5.75% ↓,2011,宜昌,5851
保定房价5526元/㎡0.23% ↓,2011,保定,5526
吉林房价5513元/㎡0.63% ↓,2011,吉林,5513
惠州房价5489元/㎡1.07% ↓,2011,惠州,5489
洛阳房价5454元/㎡0.04% ↓,2011,洛阳,5454
贵阳房价5443元/㎡0.33% ↑,2011,贵阳,5443
中山房价5432元/㎡4.45% ↓,2011,中山,5432
绵阳房价5338元/㎡0.30% ↓,2011,绵阳,5338
桂林房价5271元/㎡0.70% ↑,2011,桂林,5271
潍坊房价4960元/㎡—,2011,潍坊,4960
威海房价4933元/㎡2.94% ↑,2011,威海,4933
北京房价29916元/㎡2.15% ↑,2012,北京,29916
上海房价23240元/㎡1.40% ↑,2012,上海,23240
深圳房价19143元/㎡0.80% ↑,2012,深圳,19143
