info,year,city,price,income
2012年北京房价30158元/㎡2.15%↑,2012,北京,30158,85306.0
2012年上海房价23428元/㎡1.4%↑,2012,上海,23428,80191.0
2012年深圳房价19298元/㎡0.8%↑,2012,深圳,19298,59010.0
2012年杭州房价18713元/㎡1.77%↑,2012,杭州,18713,56418.0
2012年三亚房价18187元/㎡6.48%↑,2012,三亚,18187,
2012年厦门房价17185元/㎡2.85%↑,2012,厦门,17185,52673.0
2012年广州房价16555元/㎡2.15%↑,2012,广州,16555,67515.0
2012年宁波房价15342元/㎡0.03%↑,2012,宁波,15342,56255.0
2012年南京房价14750元/㎡0.86%↑,2012,南京,14750,63152.0
2012年天津房价12793元/㎡1.1%↑,2012,天津,12793,65398.0
2012年福州房价11750元/㎡0.75%↑,2012,福州,11750,48088.0
2012年青岛房价11743元/㎡1.48%↓,2012,青岛,11743,49052.0
2012年大连房价10540元/㎡0.24%↓,2012,大连,10540,54821.0
2012年苏州房价10089元/㎡0.65%↑,2012,苏州,10089,
2012年珠海房价9455元/㎡0.35%↑,2012,珠海,9455,
2012年南通房价9408元/㎡1.02%↑,2012,南通,9408,
2012年昆明房价8567元/㎡0.4%↑,2012,昆明,8567,45094.0
2012年济南房价8485元/㎡0.13%↑,2012,济南,8485,48829.0
2012年成都房价8450元/㎡0.33%↑,2012,成都,8450,48302.0
2012年扬州房价8366元/㎡2.1%↑,2012,扬州,8366,
2012年泉州房价8266元/㎡5.26%↑,2012,泉州,8266,
2012年南昌房价8123元/㎡0.37%↑,2012,南昌,8123,43769.0
2012年兰州房价8065元/㎡0.16%↑,2012,兰州,8065,44488.0
2012年沈阳房价8030元/㎡0.42%↓,2012,沈阳,8030,49898.0
2012年武汉房价7998元/㎡0.49%↑,2012,武汉,7998,48942.0
2012年泰州房价7975元/㎡1.23%↑,2012,泰州,7975,
2012年秦皇岛房价7797元/㎡1.04%↑,2012,秦皇岛,7797,
2012年石家庄房价7723元/㎡0.65%↑,2012,石家庄,7723,38426.0
2012年烟台房价7671元/㎡0.79%↓,2012,烟台,7671,
2012年太原房价7625元/㎡0.75%↑,2012,太原,7625,48905.0
2012年海口房价7459元/㎡0.2%↑,2012,海口,7459,40486.0
2012年无锡房价7336元/㎡0.53%↑,2012,无锡,7336,
2012年绍兴房价7268元/㎡52.12%↓,2012,绍兴,7268,
2012年昆山房价7075元/㎡0.9%↑,2012,昆山,7075,
2012年哈尔滨房价7000元/㎡0.33%↓,2012,哈尔滨,7000,41773.0
2012年廊坊房价6983元/㎡0.75%↓,2012,廊坊,6983,
2012年郑州房价6937元/㎡0.83%↑,2012,郑州,6937,40472.0
2012年徐州房价6833元/㎡1.56%↑,2012,徐州,6833,
2012年南宁房价6822元/㎡2%↓,2012,南宁,6822,44144.0
2012年呼和浩特房价6817元/㎡0.42%↓,2012,呼和浩特,6817,65637.0
2012年唐山房价6787元/㎡7.13%↑,2012,唐山,6787,
2012年东莞房价6731元/㎡0.68%↓,2012,东莞,6731,
2012年西安房价6704元/㎡0.19%↑,2012,西安,6704,46688.0
2012年合肥房价6642元/㎡0.67%↑,2012,合肥,6642,50724.0
2012年镇江房价6578元/㎡--,2012,镇江,6578,
2012年长春房价6551元/㎡0.05%↓,2012,长春,6551,46673.0
2012年重庆房价6550元/㎡0.23%↑,2012,重庆,6550,45392.0
2012年长沙房价6539元/㎡0.51%↑,2012,长沙,6539,50905.0
2012年宜昌房价6407元/㎡1.02%↓,2012,宜昌,6407,
2012年保定房价6013元/㎡0.4%↑,2012,保定,6013,
2013年北京房价40342元/㎡0.28%↑,2013,北京,40342,93997.0
2013年上海房价29978元/㎡1.3%↑,2013,上海,29978,91477.0
2013年深圳房价24910元/㎡0.78%↑,2013,深圳,24910,77721.0
2013年厦门房价23124元/㎡0.91%↑,2013,厦门,23124,61754.0
2013年广州房价19208元/㎡1.94%↓,2013,广州,19208,73678.0
2013年杭州房价19131元/㎡1.67%↓,2013,杭州,19131,64958.0
2013年三亚房价19094元/㎡3.94%↑,2013,三亚,19094,
2013年南京房价17313元/㎡1.34%↑,2013,南京,17313,66222.0
2013年宁波房价15461元/㎡0.48%↓,2013,宁波,15461,63362.0
2013年天津房价14519元/㎡2.2%↑,2013,天津,14519,68864.0
2013年福州房价13841元/㎡0.57%↑,2013,福州,13841,53420.0
2013年青岛房价12822元/㎡0.84%↓,2013,青岛,12822,55334.0
2013年珠海房价11365元/㎡3.07%↑,2013,珠海,11365,
2013年大连房价10972元/㎡0.2%↓,2013,大连,10972,58946.0
2013年苏州房价10941元/㎡0.27%↑,2013,苏州,10941,
2013年南昌房价9208元/㎡0.46%↑,2013,南昌,9208,46892.0
2013年济南房价9158元/㎡0.58%↑,2013,济南,9158,55840.0
2013年武汉房价8825元/㎡1.34%↑,2013,武汉,8825,53684.0
2013年泉州房价8724元/㎡1.07%↑,2013,泉州,8724,
2013年兰州房价8716元/㎡5.24%↓,2013,兰州,8716,49424.0
2013年昆明房价8664元/㎡0.02%↓,2013,昆明,8664,51119.0
2013年石家庄房价8639元/㎡1.34%↑,2013,石家庄,8639,43712.0
2013年成都房价8597元/㎡0.28%↓,2013,成都,8597,56581.0
2013年烟台房价8394元/㎡0.45%↑,2013,烟台,8394,
2013年沈阳房价8270元/㎡0.53%↓,2013,沈阳,8270,52389.0
2013年郑州房价8229元/㎡0.91%↑,2013,郑州,8229,45066.0
2013年南通房价8218元/㎡2.49%↑,2013,南通,8218,
2013年太原房价8194元/㎡1.56%↓,2013,太原,8194,51161.0
2013年扬州房价8150元/㎡1.81%↓,2013,扬州,8150,
2013年秦皇岛房价7947元/㎡0.2%↑,2013,秦皇岛,7947,
2013年绍兴房价7917元/㎡0.43%↑,2013,绍兴,7917,
2013年泰州房价7838元/㎡0.36%↑,2013,泰州,7838,
2013年唐山房价7641元/㎡0.08%↓,2013,唐山,7641,
2013年东莞房价7611元/㎡1.28%↑,2013,东莞,7611,
2013年哈尔滨房价7503元/㎡0.23%↓,2013,哈尔滨,7503,47150.0
2013年昆山房价7467元/㎡0.35%↑,2013,昆山,7467,
2013年合肥房价7400元/㎡0.89%↑,2013,合肥,7400,54177.0
2013年无锡房价7312元/㎡0.53%↓,2013,无锡,7312,
2013年廊坊房价7267元/㎡3.03%↓,2013,廊坊,7267,
2013年长春房价7229元/㎡0.58%↑,2013,长春,7229,52220.0
2013年南宁房价7052元/㎡0.33%↑,2013,南宁,7052,49806.0
2013年海口房价6969元/㎡0.74%↑,2013,海口,6969,45058.0
2013年重庆房价6896元/㎡--,2013,重庆,6896,51015.0
2013年西安房价6792元/㎡1.24%↓,2013,西安,6792,54388.0
2013年宜昌房价6751元/㎡0.7%↑,2013,宜昌,6751,
2013年徐州房价6745元/㎡0.84%↓,2013,徐州,6745,
2013年呼和浩特房价6714元/㎡0.39%↓,2013,呼和浩特,6714,48797.0
2013年镇江房价6663元/㎡1.29%↑,2013,镇江,6663,
2013年长沙房价6519元/㎡0.79%↓,2013,长沙,6519,56215.0
2013年佛山房价6279元/㎡0.46%↑,2013,佛山,6279,
2014年北京房价37294元/㎡0.45%↑,2014,北京,37294,103400.0
2014年上海房价30522元/㎡0.1%↑,2014,上海,30522,100623.0
2014年深圳房价28117元/㎡0.02%↓,2014,深圳,28117,73492.0
2014年厦门房价24843元/㎡0.63%↓,2014,厦门,24843,63062.0
2014年三亚房价19474元/㎡2.11%↓,2014,三亚,19474,
2014年广州房价18564元/㎡2.67%↑,2014,广州,18564,74246.0
2014年南京房价18099元/㎡0.31%↑,2014,南京,18099,77286.0
2014年杭州房价16984元/㎡0.22%↑,2014,杭州,16984,70823.0
2014年天津房价14961元/㎡0.27%↑,2014,天津,14961,73839.0
2014年宁波房价14350元/㎡0.13%↑,2014,宁波,14350,70228.0
2014年福州房价13949元/㎡1.4%↑,2014,福州,13949,58838.0
2014年青岛房价12286元/㎡2.18%↑,2014,青岛,12286,62097.0
2014年珠海房价12231元/㎡1.62%↓,2014,珠海,12231,
2014年苏州房价10980元/㎡0.87%↑,2014,苏州,10980,
2014年大连房价10182元/㎡0.62%↓,2014,大连,10182,63609.0
2014年泉州房价9402元/㎡2.59%↓,2014,泉州,9402,
2014年济南房价9341元/㎡0.2%↑,2014,济南,9341,62323.0
2014年兰州房价9299元/㎡3.55%↑,2014,兰州,9299,54008.0
2014年武汉房价9239元/㎡0.13%↑,2014,武汉,9239,60624.0
2014年南昌房价9186元/㎡0.54%↓,2014,南昌,9186,51848.0
2014年石家庄房价8800元/㎡0.38%↑,2014,石家庄,8800,48272.0
2014年郑州房价8503元/㎡0.14%↓,2014,郑州,8503,49756.0
2014年太原房价8365元/㎡0.19%↑,2014,太原,8365,57771.0
2014年哈尔滨房价8289元/㎡9.13%↓,2014,哈尔滨,8289,51554.0
2014年成都房价8277元/㎡0.13%↓,2014,成都,8277,63201.0
